season,name,position,team,location_x,kickoff_time,minutes,opp_team_name,location,was_home,area,mins_prev_match,duration,kickoff_date,temperature,humidity,elevation,injured
2019-2020,Heung-Min Son,MID,Spurs,London,2020-01-11 17:30:00+00:00,90,Liverpool,Liverpool,TRUE,London,0,10,11/01/2020,6.39,79,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-01-18 12:30:00+00:00,90,Watford,Watford,FALSE,Watford,90,6,18/01/2020,1.99,92,72.69,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-01-22 19:30:00+00:00,90,Norwich,Norwich,TRUE,London,90,4,22/01/2020,3.17,91,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-02-02 16:30:00+00:00,90,Man City,Manchester,TRUE,London,90,10,02/02/2020,7.41,77,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-02-16 14:00:00+00:00,90,Aston Villa,Birmingham,FALSE,Birmingham,90,13,16/02/2020,11.75,94,138.25,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-02-22 12:30:00+00:00,0,Chelsea,London,FALSE,London,90,5,22/02/2020,9.61,74,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-03-01 14:00:00+00:00,0,Wolves,Wolverhampton,TRUE,London,0,8,01/03/2020,6.02,68,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-03-07 17:30:00+00:00,0,Burnley,Burnley,FALSE,Burnley,0,6,07/03/2020,4.58,91,117.06,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-06-19 19:15:00+00:00,90,Man Utd,Manchester,TRUE,London,0,104,19/06/2020,14.58,84,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-06-23 19:15:00+00:00,85,West Ham,London,TRUE,London,90,4,23/06/2020,17,67,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-07-02 17:00:00+00:00,90,Sheffield Utd,Sheffield,FALSE,Sheffield,85,8,02/07/2020,14.1,94,81.19,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-07-06 19:00:00+00:00,77,Everton,Liverpool,TRUE,London,90,4,06/07/2020,14.14,66,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-07-09 17:00:00+00:00,45,Bournemouth,Bournemouth,FALSE,Bournemouth,77,2,09/07/2020,16.09,91,9.76,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-07-12 15:30:00+00:00,90,Arsenal,London,TRUE,London,45,2,12/07/2020,14.96,63,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-07-15 17:00:00+00:00,90,Newcastle,Newcastle upon Tyne,FALSE,Newcastle upon Tyne,90,3,15/07/2020,13.16,82,44.76,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-07-19 15:00:00+00:00,88,Leicester,Leicester,TRUE,London,90,3,19/07/2020,19.26,69,7.55,no
2019-2020,Heung-Min Son,MID,Spurs,London,2020-07-26 15:00:00+00:00,79,Crystal Palace,London,FALSE,London,88,7,26/07/2020,14.83,90,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-09-13 15:30:00+00:00,90,Everton,Liverpool,TRUE,London,0,0,13/09/2020,15.33,82,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-09-20 11:00:00+00:00,90,Southampton,Southampton,FALSE,Southampton,90,6,20/09/2020,17.49,48,11.03,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-09-27 13:00:00+00:00,45,Newcastle,Newcastle upon Tyne,TRUE,London,90,7,27/09/2020,11.29,73,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-10-04 15:30:00+00:00,72,Man Utd,Manchester,FALSE,Manchester,45,7,04/10/2020,9.62,98,52.86,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-10-18 15:30:00+00:00,79,West Ham,London,TRUE,London,72,14,18/10/2020,9.5,83,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-10-26 20:00:00+00:00,90,Burnley,Burnley,FALSE,Burnley,79,8,26/10/2020,6.23,95,117.06,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-11-01 19:15:00+00:00,84,Brighton,Brighton,TRUE,London,90,5,01/11/2020,10.99,76,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-11-08 12:00:00+00:00,90,West Brom,West Bromwich,FALSE,West Bromwich,84,6,08/11/2020,8.39,95,166.57,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-11-21 17:30:00+00:00,90,Man City,Manchester,TRUE,London,90,13,21/11/2020,11.08,87,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-11-29 16:30:00+00:00,90,Chelsea,London,FALSE,London,90,7,29/11/2020,9.15,92,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-12-06 16:30:00+00:00,87,Arsenal,London,TRUE,London,90,7,06/12/2020,4.22,85,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-12-13 14:15:00+00:00,90,Crystal Palace,London,FALSE,London,87,6,13/12/2020,3.82,88,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-12-16 20:00:00+00:00,86,Liverpool,Liverpool,FALSE,Liverpool,90,3,16/12/2020,6.37,79,14.48,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-12-20 14:15:00+00:00,90,Leicester,Leicester,TRUE,London,86,3,20/12/2020,8.23,86,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2020-12-27 19:15:00+00:00,83,Wolves,Wolverhampton,FALSE,Wolverhampton,90,7,27/12/2020,7.61,91,156.19,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-01-02 12:30:00+00:00,90,Leeds,Leeds,TRUE,London,83,5,02/01/2021,4.68,90,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-01-13 20:15:00+00:00,90,Fulham,London,TRUE,London,90,11,13/01/2021,2.82,87,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-01-17 14:00:00+00:00,90,Sheffield Utd,Sheffield,FALSE,Sheffield,90,3,17/01/2021,5.41,87,81.19,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-01-28 20:00:00+00:00,90,Liverpool,Liverpool,TRUE,London,90,11,28/01/2021,8.73,92,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-01-31 19:15:00+00:00,90,Brighton,Brighton,FALSE,Brighton,90,2,31/01/2021,3.65,92,15.48,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-02-04 20:00:00+00:00,90,Chelsea,London,TRUE,London,90,4,04/02/2021,6.03,79,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-02-07 12:00:00+00:00,90,West Brom,West Bromwich,TRUE,London,90,2,07/02/2021,4.14,92,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-02-13 17:30:00+00:00,90,Man City,Manchester,FALSE,Manchester,90,6,13/02/2021,-1.51,57,52.86,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-02-21 12:00:00+00:00,90,West Ham,London,FALSE,London,90,7,21/02/2021,13.52,67,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-02-28 14:00:00+00:00,90,Burnley,Burnley,TRUE,London,90,7,28/02/2021,5.48,85,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-03-04 18:00:00+00:00,90,Fulham,London,FALSE,London,90,4,04/03/2021,6.04,93,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-03-07 19:15:00+00:00,90,Crystal Palace,London,TRUE,London,90,3,07/03/2021,2.3,82,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-03-14 16:30:00+00:00,18,Arsenal,London,FALSE,London,90,6,14/03/2021,5.21,77,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-03-21 19:30:00+00:00,0,Aston Villa,Birmingham,FALSE,Birmingham,18,7,21/03/2021,7.4,80,138.25,yes
2020-2021,Heung-Min Son,MID,Spurs,London,2021-04-04 13:05:00+00:00,45,Newcastle,Newcastle upon Tyne,FALSE,Newcastle upon Tyne,0,13,04/04/2021,3.23,92,44.76,yes
2020-2021,Heung-Min Son,MID,Spurs,London,2021-04-11 15:30:00+00:00,90,Man Utd,Manchester,TRUE,London,45,7,11/04/2021,4.46,69,7.55,yes
2020-2021,Heung-Min Son,MID,Spurs,London,2021-04-16 19:00:00+00:00,90,Everton,Liverpool,FALSE,Liverpool,90,5,16/04/2021,6.05,66,14.48,yes
2020-2021,Heung-Min Son,MID,Spurs,London,2021-04-21 17:00:00+00:00,90,Southampton,Southampton,TRUE,London,90,4,21/04/2021,8.54,85,7.55,yes
2020-2021,Heung-Min Son,MID,Spurs,London,2021-05-02 18:15:00+00:00,90,Sheffield Utd,Sheffield,TRUE,London,90,11,02/05/2021,6.25,80,7.55,yes
2020-2021,Heung-Min Son,MID,Spurs,London,2021-05-08 11:30:00+00:00,90,Leeds,Leeds,FALSE,Leeds,90,5,08/05/2021,3.87,38,40.44,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-05-16 13:05:00+00:00,90,Wolves,Wolverhampton,TRUE,London,90,8,16/05/2021,10.46,89,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-05-19 17:00:00+00:00,90,Aston Villa,Birmingham,TRUE,London,90,3,19/05/2021,10.66,89,7.55,no
2020-2021,Heung-Min Son,MID,Spurs,London,2021-05-23 15:00:00+00:00,90,Leicester,Leicester,FALSE,Leicester,90,3,23/05/2021,5.13,69,61.31,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-08-15 15:30:00+00:00,90,Man City,Manchester,TRUE,London,0,0,15/08/2021,17.81,73,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2021-08-22 13:00:00+00:00,71,Wolves,Wolverhampton,FALSE,Wolverhampton,90,6,22/08/2021,15.31,89,156.19,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2021-08-29 13:00:00+00:00,87,Watford,Watford,TRUE,London,71,7,29/08/2021,13.51,85,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2021-09-11 11:30:00+00:00,0,Crystal Palace,London,FALSE,London,87,12,11/09/2021,17.94,90,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2021-09-19 15:30:00+00:00,90,Chelsea,London,TRUE,London,0,8,19/09/2021,17.35,83,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2021-09-26 15:30:00+00:00,90,Arsenal,London,FALSE,London,90,7,26/09/2021,14.06,94,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-10-03 13:00:00+00:00,90,Aston Villa,Birmingham,TRUE,London,90,6,03/10/2021,12.49,93,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-10-17 15:30:00+00:00,90,Newcastle,Newcastle upon Tyne,FALSE,Newcastle upon Tyne,90,14,17/10/2021,9.86,98,44.76,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-10-24 13:00:00+00:00,90,West Ham,London,FALSE,London,90,6,24/10/2021,11.75,77,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-10-30 16:30:00+00:00,90,Man Utd,Manchester,TRUE,London,90,6,30/10/2021,9.97,88,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-11-07 14:00:00+00:00,84,Everton,Liverpool,FALSE,Liverpool,90,7,07/11/2021,11.15,71,14.48,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-11-21 16:30:00+00:00,90,Leeds,Leeds,TRUE,London,84,14,21/11/2021,9.3,87,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-12-02 19:30:00+00:00,86,Brentford,London,TRUE,London,90,11,02/12/2021,2.82,77,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-12-05 14:00:00+00:00,90,Norwich,Norwich,TRUE,London,86,2,05/12/2021,4.44,90,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-12-19 16:30:00+00:00,90,Liverpool,Liverpool,TRUE,London,90,14,19/12/2021,6.51,96,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-12-26 15:00:00+00:00,75,Crystal Palace,London,TRUE,London,90,6,26/12/2021,5.32,96,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2021-12-28 15:00:00+00:00,90,Southampton,Southampton,FALSE,Southampton,75,2,28/12/2021,9.99,98,11.03,no
2021-2022,Heung-Min Son,MID,Spurs,London,2022-01-01 15:00:00+00:00,90,Watford,Watford,FALSE,Watford,90,4,01/01/2022,12.83,95,72.69,no
2021-2022,Heung-Min Son,MID,Spurs,London,2022-01-19 19:30:00+00:00,0,Leicester,Leicester,FALSE,Leicester,90,18,19/01/2022,3.1,95,61.31,no
2021-2022,Heung-Min Son,MID,Spurs,London,2022-01-23 16:30:00+00:00,0,Chelsea,London,FALSE,London,0,3,23/01/2022,5.71,78,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2022-02-09 19:45:00+00:00,90,Southampton,Southampton,TRUE,London,0,17,09/02/2022,9.94,83,7.55,no
2021-2022,Heung-Min Son,MID,Spurs,London,2022-02-13 14:00:00+00:00,90,Wolves,Wolverhampton,TRUE,London,90,3,13/02/2022,6.8,84,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-02-19 17:30:00+00:00,79,Man City,Manchester,FALSE,Manchester,90,6,19/02/2022,4.04,80,52.86,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-02-23 19:30:00+00:00,90,Burnley,Burnley,FALSE,Burnley,79,4,23/02/2022,6.02,87,117.06,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-02-26 12:30:00+00:00,86,Leeds,Leeds,FALSE,Leeds,90,2,26/02/2022,3.33,82,40.44,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-03-07 20:00:00+00:00,66,Everton,Liverpool,TRUE,London,86,9,07/03/2022,4.32,80,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-03-12 17:30:00+00:00,90,Man Utd,Manchester,FALSE,Manchester,66,4,12/03/2022,10.12,75,52.86,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-03-16 19:30:00+00:00,79,Brighton,Brighton,FALSE,Brighton,90,4,16/03/2022,9.53,89,15.48,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-03-20 16:30:00+00:00,90,West Ham,London,TRUE,London,79,3,20/03/2022,7.73,63,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-04-03 15:30:00+00:00,90,Newcastle,Newcastle upon Tyne,TRUE,London,90,13,03/04/2022,2.06,78,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-04-09 16:30:00+00:00,77,Aston Villa,Birmingham,FALSE,Birmingham,90,6,09/04/2022,1.77,88,138.25,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-04-16 11:30:00+00:00,87,Brighton,Brighton,TRUE,London,77,6,16/04/2022,11.19,83,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-04-23 16:30:00+00:00,90,Brentford,London,FALSE,London,87,7,23/04/2022,9.52,80,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-05-01 13:00:00+00:00,81,Leicester,Leicester,TRUE,London,90,7,01/05/2022,12.07,73,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-05-07 18:45:00+00:00,90,Liverpool,Liverpool,FALSE,Liverpool,81,6,07/05/2022,11.35,94,14.48,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-05-12 18:45:00+00:00,71,Arsenal,London,TRUE,London,90,5,12/05/2022,10.99,87,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-05-15 11:00:00+00:00,90,Burnley,Burnley,TRUE,London,71,2,15/05/2022,14.11,70,7.55,yes
2021-2022,Heung-Min Son,MID,Spurs,London,2022-05-22 15:00:00+00:00,90,Norwich,Norwich,FALSE,Norwich,90,7,22/05/2022,10.9,83,21.49,yes
2023-2024,Heung-Min Son,MID,Spurs,London,2023-08-13 13:00:00+00:00,74,Brentford,London,FALSE,London,0,0,13/08/2023,17.17,82,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-08-19 16:30:00+00:00,90,Man Utd,Manchester,TRUE,London,74,6,19/08/2023,19.11,95,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-08-26 11:30:00+00:00,90,Bournemouth,Bournemouth,FALSE,Bournemouth,90,6,26/08/2023,13.55,89,9.76,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-09-02 14:00:00+00:00,71,Burnley,Burnley,FALSE,Burnley,90,7,02/09/2023,14.56,94,117.06,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-09-16 14:00:00+00:00,79,Sheffield Utd,Sheffield,TRUE,London,71,14,16/09/2023,16.87,85,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-09-24 13:00:00+00:00,78,Arsenal,London,FALSE,London,79,7,24/09/2023,12.7,77,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-09-30 16:30:00+00:00,68,Liverpool,Liverpool,TRUE,London,78,6,30/09/2023,14.26,80,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-10-07 11:30:00+00:00,75,Luton,Luton,FALSE,Luton,68,6,07/10/2023,16.24,87,110.84,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-10-23 19:00:00+00:00,81,Fulham,London,TRUE,London,75,16,23/10/2023,8.23,93,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-10-27 19:00:00+00:00,90,Crystal Palace,London,FALSE,London,81,4,27/10/2023,8.66,93,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-11-06 20:00:00+00:00,90,Chelsea,London,TRUE,London,90,10,06/11/2023,9.18,86,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-11-11 12:30:00+00:00,90,Wolves,Wolverhampton,FALSE,Wolverhampton,90,4,11/11/2023,4.08,96,156.19,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-11-26 14:00:00+00:00,90,Aston Villa,Birmingham,TRUE,London,90,15,26/11/2023,2.06,87,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-12-03 16:30:00+00:00,90,Man City,Manchester,FALSE,Manchester,90,7,03/12/2023,1.82,83,52.86,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-12-07 20:15:00+00:00,87,West Ham,London,TRUE,London,90,4,07/12/2023,4.44,88,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-12-10 16:30:00+00:00,90,Newcastle,Newcastle upon Tyne,TRUE,London,87,2,10/12/2023,9.98,66,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-12-15 20:00:00+00:00,87,Nott'm Forest,Nottingham,FALSE,Nottingham,90,5,15/12/2023,7.69,81,36.78,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-12-23 15:00:00+00:00,90,Everton,Liverpool,TRUE,London,87,7,23/12/2023,9.62,80,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-12-28 19:30:00+00:00,90,Brighton,Brighton,FALSE,Brighton,90,5,28/12/2023,11.47,83,15.48,no
2023-2024,Heung-Min Son,MID,Spurs,London,2023-12-31 14:00:00+00:00,90,Bournemouth,Bournemouth,TRUE,London,90,2,31/12/2023,12.19,81,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-01-14 16:30:00+00:00,0,Man Utd,Manchester,FALSE,Manchester,90,14,14/01/2024,3.13,79,52.86,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-01-31 19:30:00+00:00,0,Brentford,London,TRUE,London,0,17,31/01/2024,7.1,79,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-02-03 12:30:00+00:00,0,Everton,Liverpool,FALSE,Liverpool,0,2,03/02/2024,12.28,86,14.48,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-02-10 15:00:00+00:00,28,Brighton,Brighton,TRUE,London,0,7,10/02/2024,10.25,94,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-02-17 15:00:00+00:00,90,Wolves,Wolverhampton,TRUE,London,28,7,17/02/2024,10.85,81,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-03-02 15:00:00+00:00,89,Crystal Palace,London,TRUE,London,90,14,02/03/2024,4.19,90,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-03-10 13:00:00+00:00,90,Aston Villa,Birmingham,FALSE,Birmingham,89,7,10/03/2024,6.66,90,138.25,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-03-16 17:30:00+00:00,86,Fulham,London,FALSE,London,90,6,16/03/2024,8.86,77,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-03-30 15:00:00+00:00,87,Luton,Luton,TRUE,London,86,13,30/03/2024,8.6,86,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-04-02 19:15:00+00:00,90,West Ham,London,FALSE,London,87,3,02/04/2024,9.9,85,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-04-07 17:00:00+00:00,90,Nott'm Forest,Nottingham,TRUE,London,90,4,07/04/2024,14.21,72,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-04-13 11:30:00+00:00,57,Newcastle,Newcastle upon Tyne,FALSE,Newcastle upon Tyne,90,5,13/04/2024,12.39,82,44.76,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-04-28 13:00:00+00:00,90,Arsenal,London,TRUE,London,57,15,28/04/2024,8.3,91,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-05-02 18:30:00+00:00,90,Chelsea,London,FALSE,London,90,4,02/05/2024,14.95,83,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-05-05 15:30:00+00:00,90,Liverpool,Liverpool,FALSE,Liverpool,90,2,05/05/2024,10.35,86,14.48,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-05-11 14:00:00+00:00,90,Burnley,Burnley,TRUE,London,90,5,11/05/2024,13.39,79,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-05-14 19:00:00+00:00,90,Man City,Manchester,TRUE,London,90,3,14/05/2024,16.56,78,7.55,no
2023-2024,Heung-Min Son,MID,Spurs,London,2024-05-19 15:00:00+00:00,87,Sheffield Utd,Sheffield,FALSE,Sheffield,90,4,19/05/2024,11.39,72,81.19,no
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-08-12 15:00:00+00:00,30,Arsenal,London,FALSE,London,0,0,12/08/2018,17.38,82,7.55,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-08-19 12:30:00+00:00,0,Huddersfield,Huddersfield,TRUE,Manchester,30,6,19/08/2018,19.16,82,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-08-25 11:30:00+00:00,0,Wolves,Wolverhampton,FALSE,Wolverhampton,0,5,25/08/2018,8.49,93,156.19,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-09-01 16:30:00+00:00,0,Newcastle,Newcastle upon Tyne,TRUE,Manchester,0,7,01/09/2018,13.16,62,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-09-15 14:00:00+00:00,0,Fulham,London,TRUE,Manchester,0,13,15/09/2018,12.16,87,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-09-22 14:00:00+00:00,0,Cardiff,Cardiff,FALSE,Cardiff,0,7,22/09/2018,11.31,87,12.04,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-09-29 14:00:00+00:00,0,Brighton,Brighton,TRUE,Manchester,0,7,29/09/2018,4.16,93,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-10-07 15:30:00+00:00,0,Liverpool,Liverpool,FALSE,Liverpool,0,8,07/10/2018,3.69,86,14.48,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-10-20 14:00:00+00:00,32,Burnley,Burnley,TRUE,Manchester,0,12,20/10/2018,9.16,93,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-10-29 20:00:00+00:00,19,Spurs,London,FALSE,London,32,9,29/10/2018,4.08,84,7.55,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-11-04 15:00:00+00:00,0,Southampton,Southampton,TRUE,Manchester,19,5,04/11/2018,12.16,81,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-11-11 16:30:00+00:00,0,Man Utd,Manchester,TRUE,Manchester,0,7,11/11/2018,8.16,87,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-11-24 15:00:00+00:00,0,West Ham,London,FALSE,London,0,12,24/11/2018,8.48,87,7.55,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-12-01 15:00:00+00:00,0,Bournemouth,Bournemouth,TRUE,Manchester,0,7,01/12/2018,5.16,80,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-12-04 20:00:00+00:00,0,Watford,Watford,FALSE,Watford,0,3,04/12/2018,3.75,93,72.69,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-12-08 17:30:00+00:00,0,Chelsea,London,FALSE,London,0,3,08/12/2018,7.48,78,7.55,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-12-15 12:30:00+00:00,15,Everton,Liverpool,TRUE,Manchester,0,6,15/12/2018,2.16,64,52.86,no
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-12-22 15:00:00+00:00,28,Crystal Palace,London,TRUE,Manchester,15,7,22/12/2018,8.06,94,52.86,no
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-12-26 15:00:00+00:00,69,Leicester,Leicester,FALSE,Leicester,28,4,26/12/2018,8.6,82,61.31,no
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2018-12-30 14:15:00+00:00,0,Southampton,Southampton,FALSE,Southampton,69,3,30/12/2018,10.08,72,11.03,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2019-01-03 20:00:00+00:00,0,Liverpool,Liverpool,TRUE,Manchester,0,4,03/01/2019,3.47,81,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2019-01-14 20:00:00+00:00,28,Wolves,Wolverhampton,TRUE,Manchester,0,11,14/01/2019,7.41,88,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2019-01-20 13:30:00+00:00,90,Huddersfield,Huddersfield,FALSE,Huddersfield,28,5,20/01/2019,2.64,95,88.01,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2019-01-29 20:00:00+00:00,64,Newcastle,Newcastle upon Tyne,FALSE,Newcastle upon Tyne,90,9,29/01/2019,1.7,90,44.76,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2019-02-03 16:30:00+00:00,87,Arsenal,London,TRUE,Manchester,64,4,03/02/2019,-3.18,93,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2019-02-06 19:45:00+00:00,1,Everton,Liverpool,FALSE,Liverpool,87,3,06/02/2019,8.69,82,14.48,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2019-02-10 16:00:00+00:00,67,Chelsea,London,TRUE,Manchester,1,3,10/02/2019,5.72,81,52.86,yes
2018-2019,Kevin De Bruyne,MID,Man City,Manchester,2019-02-27 20:00:00+00:00,90,West Ham,London,TRUE,Manchester,67,17,27/02/2019,9.11,72,52.86,yes
